2020-02-12 10:40:57.662 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.CommentDto matches criteria [is assignable to Object]
2020-02-12 10:40:57.664 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.GithubUser matches criteria [is assignable to Object]
2020-02-12 10:40:57.665 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.NotificationDto matches criteria [is assignable to Object]
2020-02-12 10:40:57.666 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.PaginationDto matches criteria [is assignable to Object]
2020-02-12 10:40:57.667 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.QuestionDto matches criteria [is assignable to Object]
2020-02-12 10:40:57.669 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.ResultDto matches criteria [is assignable to Object]
2020-02-12 10:40:57.670 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.dto.UploadResultDto matches criteria [is assignable to Object]
2020-02-12 10:40:57.671 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.enums.CommentType matches criteria [is assignable to Object]
2020-02-12 10:40:57.672 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.enums.NotificationStatusEnum matches criteria [is assignable to Object]
2020-02-12 10:40:57.673 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.enums.NotificationTypeEnum matches criteria [is assignable to Object]
2020-02-12 10:40:57.674 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.exception.CustomizeErrorCode matches criteria [is assignable to Object]
2020-02-12 10:40:57.675 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.exception.CustomizeException matches criteria [is assignable to Object]
2020-02-12 10:40:57.675 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.exception.IErrorCode matches criteria [is assignable to Object]
2020-02-12 10:40:57.675 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.interceptor.SessionInterceptor matches criteria [is assignable to Object]
2020-02-12 10:40:57.675 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.interceptor.WebConfig matches criteria [is assignable to Object]
2020-02-12 10:40:57.675 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.mapper.CommentMapper matches criteria [is assignable to Object]
2020-02-12 10:40:57.675 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.mapper.NotificationMapper matches criteria [is assignable to Object]
2020-02-12 10:40:57.676 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.mapper.QuestionExtMapper matches criteria [is assignable to Object]
2020-02-12 10:40:57.676 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.mapper.QuestionMapper matches criteria [is assignable to Object]
2020-02-12 10:40:57.676 DEBUG 12320 --- [main] org.apache.ibatis.io.ResolverUtil        : Checking to see if class cn.mycz.community.mapper.UserMapper matches criteria [is assignable to Object]
